Gyroscope,346600204,-0.1777708,-0.24412133,-0.28251985
LinearAcceleration,346600205,0.4727052,0.11462241,0.7661445
Gyroscope,346600960,-0.21718557,-0.22601183,-0.25375772
LinearAcceleration,346600960,0.43305123,0.30570963,0.74429744
Gyroscope,346600961,-0.2704488,-0.19938022,-0.2239303
LinearAcceleration,346600961,0.362123,0.7625532,0.6913257
Gyroscope,346600962,-0.2853625,-0.17061807,-0.19197237
LinearAcceleration,346600962,0.29942486,0.96546185,0.65556234
Gyroscope,346600962,-0.26618776,-0.13759488,-0.14403547
LinearAcceleration,346600963,0.28461072,0.7034464,0.6426935
Gyroscope,346600963,-0.27577513,-0.10137589,-0.10568595
LinearAcceleration,346600963,0.24420857,0.6998551,0.4369418
Gyroscope,346600964,-0.27897093,-0.06728743,-0.07479328
LinearAcceleration,346600964,0.1782184,0.97264445,0.09816227
Gyroscope,346600964,-0.20120661,-0.032133702,-0.020464795
LinearAcceleration,346600965,0.13961188,0.7588123,-0.13721769
Gyroscope,346600965,-0.15539013,0.28105405,0.3065687
LinearAcceleration,346600965,0.26785132,0.3482067,0.9828198
Gyroscope,346600966,-0.09147426,0.2373782,0.29058975
LinearAcceleration,346600966,0.22819735,0.219668,0.84814596
Gyroscope,346600967,-0.12982377,0.007281082,-0.19410557
LinearAcceleration,346600967,0.3309984,-0.25423428,0.19482817
Gyroscope,346600968,-0.07975635,0.053087454,-0.18771398
LinearAcceleration,346600968,0.4456208,-0.4938041,0.014814123
Gyroscope,346600980,-0.024362598,0.106350675,-0.17706133
LinearAcceleration,346600980,0.5057751,-0.3522469,-0.052822076
Gyroscope,346600994,0.087490164,0.16174443,-0.15042973
LinearAcceleration,346600994,0.47554833,-0.4861726,-0.09531915
Gyroscope,346601014,0.1822987,0.20115921,-0.1600171
LinearAcceleration,346601014,0.38920742,-0.20874447,-0.048033673
Gyroscope,346601034,0.21638717,0.23311715,-0.19623609
LinearAcceleration,346601034,0.39624038,0.2252046,0.12330139
Gyroscope,346601054,0.23236613,0.26827088,-0.19090977
LinearAcceleration,346601054,0.49634793,-0.081103586,0.33010057
Gyroscope,346601074,0.18975556,0.29916355,-0.18558344
LinearAcceleration,346601074,0.4715081,0.12120646,0.42527008
Gyroscope,346601094,0.12157863,0.3385783,-0.16108236
LinearAcceleration,346601094,0.42871174,0.63087213,0.39160162
Gyroscope,346601114,0.078968056,0.39503732,-0.08970965
LinearAcceleration,346601114,0.42945993,0.8535329,0.32635963
Gyroscope,346601134,0.060858555,0.46001846,0.005098888
LinearAcceleration,346601134,0.42796355,0.85068977,0.24226329
Gyroscope,346601154,0.07045606,0.51860803,0.0967087
LinearAcceleration,346601154,0.413748,0.7757214,0.115969144
Gyroscope,346601174,0.10454452,0.5644144,0.16488563
LinearAcceleration,346601174,0.3482067,0.7866449,-0.02439093
Gyroscope,346601194,0.16952565,0.60169864,0.22667097
LinearAcceleration,346601194,0.35090017,0.5352537,-0.17118542
Gyroscope,346601214,0.23344152,0.6347218,0.29484788
LinearAcceleration,346601214,0.29897594,0.031124622,-0.28565818
Gyroscope,346601234,0.2579426,0.6720061,0.35556796
LinearAcceleration,346601234,0.2558803,-0.3199252,-0.3684078
Gyroscope,346601254,0.25048575,0.7114209,0.396048
LinearAcceleration,346601254,0.19991584,-0.47839144,-0.46806642
Gyroscope,346601274,0.24622469,0.7582925,0.43120173
LinearAcceleration,346601274,0.15472528,-0.6631939,-0.39773676
Gyroscope,346601294,0.24089837,0.80516416,0.4588986
LinearAcceleration,346601294,0.19303252,-0.8451532,-0.26560676
Gyroscope,346601314,0.2249194,0.8413831,0.46315965
LinearAcceleration,346601314,0.14724341,-0.7092823,-0.16744448
Gyroscope,346601334,0.22598466,0.87014526,0.4652902
LinearAcceleration,346601334,0.10115502,-0.79637134,0.038307227
Gyroscope,346601354,0.21639729,0.8818632,0.44291964
LinearAcceleration,346601354,0.037259765,-0.8013094,0.24166474
Gyroscope,346601374,0.19402672,0.86908,0.37900376
LinearAcceleration,346601374,0.0031423897,-0.6973112,0.39728785
Gyroscope,346601394,0.16632986,0.8371221,0.30550054
LinearAcceleration,346601394,-0.046088383,-0.415394,0.40402153
Gyroscope,346601414,0.113066636,0.80729467,0.2437152
LinearAcceleration,346601414,-0.07706337,-0.08304887,0.40491936
Gyroscope,346601434,0.065129735,0.78385884,0.21921411
LinearAcceleration,346601434,-0.12270284,-0.1189619,0.48632222
Gyroscope,346601454,-0.003047189,0.760423,0.21069199
LinearAcceleration,346601454,-0.04309563,-0.14754269,0.5553052
Gyroscope,346601474,-0.082942024,0.72313875,0.20643094
LinearAcceleration,346601474,0.009576807,0.06015432,0.51460373
Gyroscope,346601494,-0.12874839,0.6752019,0.22773622
LinearAcceleration,346601494,0.12539631,0.29852703,0.37214872
Gyroscope,346601514,-0.1223568,0.61554706,0.26288995
LinearAcceleration,346601514,0.14993688,0.51939213,0.13706805
Gyroscope,346601534,-0.05631041,0.55269647,0.30123946
LinearAcceleration,346601534,0.13946225,0.39773676,-0.10100538
Gyroscope,346601554,0.031041272,0.49623746,0.32893634
LinearAcceleration,346601554,0.046537295,0.12180501,-0.30301616
Gyroscope,346601574,0.09708767,0.45682266,0.3481111
LinearAcceleration,346601574,-0.03935469,-0.19991584,-0.41943422
Gyroscope,346601594,0.1290456,0.43125632,0.35237217
LinearAcceleration,346601594,-0.0026934769,-0.4201824,-0.4961983
Gyroscope,346601614,0.12691507,0.40675524,0.33745846
LinearAcceleration,346601614,0.102052845,-0.39579147,-0.4938041
Gyroscope,346601634,0.113066636,0.3811889,0.32041422
LinearAcceleration,346601634,0.1261445,-0.33967736,-0.51789576
Gyroscope,346601654,0.09812763,0.35242677,0.29911613
LinearAcceleration,346601655,0.15053543,-0.24839842,-0.5267244
Gyroscope,346601674,0.08001813,0.32579514,0.28100663
LinearAcceleration,346601674,0.16130935,-0.5077204,-0.40536827
Gyroscope,346601694,0.029950708,0.30555514,0.26609293
LinearAcceleration,346601694,0.13661914,-0.6497265,-0.23777416
Gyroscope,346601714,-0.08616311,0.28957614,0.23306973
