start,gesture,end,sound,label
186160624,Swipe Left,186171363,186160624.mp4,y,,
186308796,Whats Up,186319296,186308796.mp4,y,,
186441314,Whats Up,186452001,186441314.mp4,not sure,,
186584496,Swipe Left,186595391,186584496.mp4,not sure,,
186730074,Swipe Right,186740929,186730074.mp4,not sure,,
186873004,Whats Up,186884016,186873004.mp4,not sure,,
186995520,Nod,187006230,186995520.mp4,not sure,,
187132634,Swipe Right,187143617,187132634.mp4,not sure,,
187258944,Swipe Left,187269699,187258944.mp4,not sure,,
187388915,Nod,187399683,187388915.mp4,not sure,,
187544352,Nod,187555070,187544352.mp4,y,,
187684105,Whats Up,187695028,187684105.mp4,not sure,,
187811185,Whats Up,187821713,187811185.mp4,n,,
187956354,Swipe Right,187966993,187956354.mp4,not sure,,
188101276,Whats Up,188111769,188101276.mp4,not sure,,
188235000,Nod,188245663,188235000.mp4,not sure,,
188360590,Nod,188371569,188360590.mp4,not sure,,
188494900,Swipe Right,188505635,188494900.mp4,not sure,,
188630605,Swipe Right,188641589,188630605.mp4,y,,
188760339,Nod,188770727,188760339.mp4,y,,contested
188908033,Whats Up,188918459,188908033.mp4,n,,
189057084,Whats Up,189067485,189057084.mp4,y (?)???,not sure,contested
189193195,Nod,189204232,189193195.mp4,not sure,,
189318800,Swipe Right,189330131,189318800.mp4,not sure,,
189456979,Swipe Left,189468160,189456979.mp4,not sure,,
189601903,Whats Up,189612971,189601903.mp4,not sure,,
189729756,Swipe Right,189740828,189729756.mp4,not sure,,
189864555,Swipe Left,189875602,189864555.mp4,not sure,,
190006678,Swipe Right,190017805,190006678.mp4,y,,
190156792,Swipe Right,190167182,190156792.mp4,y,,
190291779,Swipe Left,190302159,190291779.mp4,y,,
190438153,Swipe Right,190448574,190438153.mp4,y,,
190560579,Swipe Right,190571705,190560579.mp4,y,,
190710266,Swipe Right,190721287,190710266.mp4,y,,
190854215,Nod,190865200,190854215.mp4,not sure,,
191001631,Swipe Left,191012017,191001631.mp4,not sure,,
191150928,Swipe Left,191162034,191150928.mp4,y,,
191290367,Nod,191300816,191290367.mp4,y,,
191444299,Nod,191454667,191444299.mp4,y,,
191583722,Whats Up,191594798,191583722.mp4,y,,
191727331,Nod,191738325,191727331.mp4,y,,
191855232,Swipe Left,191865734,191855232.mp4,y,,
191981449,Swipe Left,191991929,191981449.mp4,y,,
192127691,Swipe Left,192138165,192127691.mp4,y,,
192280009,Swipe Left,192292344,192280009.mp4,y,,
192411704,Nod,192422131,192411704.mp4,y,,
192539922,Whats Up,192550442,192539922.mp4,n,,
